Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
0,0.29486,38.12855,0.0,0.0,2.5,2.6,0.0,0,0,122,55.65424,0.00031,0.0,1.442,0.0,0.0,200.13323988155187
1,0.28989,37.92366,0.0,0.0,3.1,2.686,10.36676,0,0,122,55.60865,0.00028,0.0,1.282,-1.0,0.0,200.2115013882277
2,0.29117,37.84783,0.0,0.0,2.5,2.675,9.994,0,0,122,55.60038,0.00033,0.0,1.279,-1.0,0.0,200.14221051881484
3,0.29323,37.68648,0.0,0.0,3.4,2.682,10.47585,0,0,121,55.57674,0.00052,0.0,1.298,-1.0,0.0,200.09796626159752
4,0.29176,37.85823,0.0,0.0,2.8,2.655,10.36133,0,0,120,55.58203,0.0004,0.0,1.298,-1.0,0.0,200.0973977620389
5,0.28185,37.8084,0.0,0.0,1.8,2.619,10.3173,0,0,120,55.5645,0.0004,0.0,1.328,-1.0,0.0,200.17341662751187
6,0.29698,38.35401,0.0,0.0,1.6,2.588,9.84059,0,0,121,55.5951,0.0003,0.0,1.334,-1.0,0.0,200.11721056559477
7,0.29473,38.00375,0.0,0.0,2.0,2.744,10.50571,0,0,121,55.59325,0.0003,0.0,1.319,-1.0,0.0,200.1806248319755
8,0.29365,38.0652,0.0,0.0,4.2,2.739,10.37092,0,0,121,55.57892,0.00038,0.0,1.308,0.37095,0.0,200.165615159603
9,0.29113,37.73758,0.0,0.0,2.9,2.851,10.35271,0,0,121,55.57329,0.0003,0.0,1.304,-1.0,0.0,200.25278953230938
10,0.30302,38.08296,0.0,0.0,3.4,2.78,9.71903,0,0,122,55.56697,0.00033,0.0,1.302,-1.0,0.0,200.17413826902506
11,0.2936,37.80427,0.0,0.0,1.7,2.845,10.35796,0,0,122,55.5361,0.00042,0.0,1.315,-1.0,0.0,200.20138238978728
12,0.29133,38.2463,0.0,0.0,4.2,2.83,10.13487,0,0,121,55.52929,0.00042,0.0,1.332,-1.0,0.0,200.09193706793786
13,0.29153,38.01265,0.0,0.0,3.0,2.903,10.28947,0,0,122,55.50359,0.00042,0.0,1.329,-1.0,0.0,200.02212677727167
14,0.28801,38.00023,0.0,0.0,2.4,2.791,9.63154,0,0,122,55.47469,0.00043,0.0,1.333,-1.0,0.0,199.97225634498292
15,0.27904,37.90263,0.0,0.0,1.9,2.889,10.06866,0,0,121,55.47174,0.00045,0.0,1.524,-1.0,0.0,199.99570022163405
