Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
0,0.7634,16.36882,0.0,0.0,2.4,8.506233,0.0,0,0,119.23682,48.55627,0.0,0.0,1.002,0.0,0.0,192.8673329064441
1,0.83599,16.49154,0.0,0.0,4.1,8.506233,8.41207,0,0,119.23682,48.55627,2e-05,0.0,1.017,-1.0,0.0,192.71470544099552
2,0.85841,16.54783,0.0,0.0,3.1,8.506233,7.97229,0,0,118.327515,48.55627,0.0,0.0,1.015,-1.0,0.0,192.59795631364076
3,0.82766,16.57119,0.0,0.0,4.0,8.506233,8.43341,0,0,118.327515,48.55627,0.0,0.0,1.013,-1.0,0.0,192.57145342774837
4,0.87416,16.5111,0.0,0.0,2.0,8.506233,8.41672,0,0,118.327515,48.55627,0.0,0.0,1.016,-1.0,0.0,192.49808092659842
5,0.86585,16.5186,0.0,0.0,2.0,8.506233,8.35587,0,0,118.327515,48.55627,2e-05,0.0,1.013,-1.0,0.0,192.48311185136646
6,0.87304,16.50813,0.0,0.0,1.6,8.506233,7.92621,0,0,118.327515,48.55627,0.0,0.0,1.014,-1.0,0.0,192.41954081432056
7,0.8521,16.53296,0.0,0.0,0.9,8.506233,8.33459,0,0,118.327515,48.55627,2e-05,0.0,1.056,-1.0,0.0,192.4512924187012
8,0.88061,16.50895,0.0,0.0,1.6,8.506233,8.30628,0,0,118.327515,48.55627,0.0,0.0,1.097,0.5327,0.0,192.4668842653067
9,0.88612,16.47263,0.0,0.0,1.3,8.506233,8.25962,0,0,118.327515,48.55627,0.0,0.0,1.113,-1.0,0.0,192.4851932499606
10,0.86791,16.55093,0.0,0.0,1.1,8.506233,7.84889,0,0,118.327515,48.55627,0.0,0.0,1.155,-1.0,0.0,192.500424435509
11,0.874,16.5815,0.0,0.0,1.3,8.506233,8.31645,0,0,118.327515,48.55627,0.0,0.0,1.179,-1.0,0.0,192.44686537323312
12,0.88721,16.56921,0.0,0.0,1.4,8.506233,8.27212,0,0,118.327515,48.55627,0.0,0.0,1.237,-1.0,0.0,192.41981411993095
13,0.87614,16.64384,0.0,0.0,1.2,8.506233,8.21526,0,0,118.327515,48.55627,0.0,0.0,1.29,-1.0,0.0,192.37189406920191
14,0.8762,16.67667,0.0,0.0,2.8,8.506233,7.77172,0,0,118.327515,48.55627,0.0,0.0,1.367,-1.0,0.0,192.32601669871468
15,0.88037,16.68738,0.0,0.0,2.1,8.506233,8.21642,0,0,118.327515,48.55627,0.0,0.0,1.483,-1.0,0.0,192.29792480022377
16,0.87005,16.66373,0.0,0.0,2.1,8.506233,8.18249,0,0,118.327515,48.55627,0.0,0.0,1.475,0.51505,0.0,192.502486653256
17,0.87614,16.61589,0.0,0.0,1.8,8.506233,7.73183,0,0,118.327515,48.55627,0.0,0.0,1.448,-1.0,0.0,192.5538434911241
18,0.87003,16.58891,0.0,0.0,3.2,8.506233,8.14901,0,0,118.327515,48.55627,0.0,0.0,1.357,-1.0,0.0,192.6920730363363
19,0.88473,16.50803,0.0,0.0,1.1,8.506233,8.1684,0,0,118.327515,48.55627,0.0,0.0,1.247,-1.0,0.0,192.8042477584932
20,0.86889,16.51413,0.0,0.0,0.7,8.506233,8.12145,0,0,118.327515,48.55627,0.0,0.0,1.176,-1.0,0.0,192.88721042650522
21,0.88697,16.4459,0.0,0.0,1.4,8.506233,7.67785,0,0,118.327515,48.55627,0.0,0.0,1.14,-1.0,0.0,192.94943951345465
22,0.88864,16.46774,0.0,0.0,0.9,8.506233,8.08435,0,0,118.327515,48.55627,0.0,0.0,1.126,-1.0,0.0,192.95059609823653
23,0.88952,16.44128,0.0,0.0,1.2,8.506233,8.07178,0,0,118.327515,48.55627,0.0,0.0,1.126,-1.0,0.0,192.9095244032468
24,0.86628,16.47415,0.0,0.0,1.1,8.506233,8.03845,0,0,118.327515,48.55627,0.0,0.0,1.111,0.5191,0.0,192.96081437658728
25,0.8943,16.45226,0.0,0.0,1.0,8.506233,7.6397,0,0,118.327515,48.55627,0.0,0.0,1.138,-1.0,0.0,192.9698581773979
26,0.89038,16.46371,0.0,0.0,0.6,8.506233,8.10213,0,0,118.327515,48.55627,0.0,0.0,1.145,-1.0,0.0,192.98989781972267
27,0.89716,16.46218,0.0,0.0,0.3,8.506233,8.1333,0,0,118.327515,48.55627,0.0,0.0,1.147,-1.0,0.0,193.01985897306795
28,0.86515,16.46839,0.0,0.0,0.7,8.506233,8.16226,0,0,118.327515,48.55627,0.0,0.0,1.13,-1.0,0.0,193.07036701152992
29,0.8858,16.47478,0.0,0.0,0.6,8.506233,7.74287,0,0,118.327515,48.55627,0.0,0.0,1.125,-1.0,0.0,193.07889222686305
30,0.88232,16.46935,0.0,0.0,0.2,8.506233,8.20533,0,0,118.327515,48.55627,0.0,0.0,1.132,-1.0,0.0,193.0678725804862
31,0.87571,16.44912,0.0,0.0,0.2,8.506233,8.15113,0,0,118.327515,48.55627,0.0,0.0,1.12,-1.0,0.0,193.08081765853925
32,0.88732,16.44586,0.0,0.0,0.8,8.506233,7.67996,0,0,118.327515,48.55627,0.0,0.0,1.134,0.50723,0.0,193.09060731773098
33,0.89056,16.44751,0.0,0.0,0.1,8.506233,8.10176,0,0,118.327515,48.55627,0.0,0.0,1.132,-1.0,0.0,193.02247145588976
34,0.87673,16.48625,0.0,0.0,0.1,8.506233,8.12682,0,0,118.327515,48.55627,0.0,0.0,1.1,-1.0,0.0,193.00303868385362
35,0.89247,16.50499,0.0,0.0,0.0,8.506233,8.26331,0,0,118.327515,48.55627,0.0,0.0,1.132,-1.0,0.0,192.95704798181458
36,0.87995,16.55184,0.0,0.0,0.6,8.506233,7.86427,0,0,118.327515,48.55627,2e-05,0.0,1.151,-1.0,0.0,193.0008774895582
37,0.88117,16.52401,0.0,0.0,0.4,8.506233,8.34401,0,0,118.327515,48.55627,0.0,0.0,1.163,-1.0,0.0,192.99301620505594
38,0.86984,16.56642,0.0,0.0,0.4,8.506233,8.33584,0,0,118.327515,48.55627,2e-05,0.0,1.109,-1.0,0.0,192.99539341800497
39,0.88417,16.54596,0.0,0.0,1.0,8.506233,8.35641,0,0,118.327515,48.55627,0.0,0.0,1.054,-1.0,0.0,192.96845452035015
40,0.87943,16.58964,0.0,0.0,1.1,8.506233,7.94471,0,0,118.327515,48.55627,0.0,0.0,1.02,0.48611,0.0,192.99800631869073
41,0.88518,16.5778,0.0,0.0,0.9,8.506233,8.39801,0,0,118.327515,48.55627,0.0,0.0,1.005,-1.0,0.0,192.99584022781823
42,0.87242,16.60864,0.0,0.0,0.2,8.506233,8.35078,0,0,118.327515,48.55627,0.0,0.0,1.014,-1.0,0.0,193.0291808329372
43,0.88967,16.57369,0.0,0.0,0.2,8.506233,8.33456,0,0,118.327515,48.55627,0.0,0.0,1.009,-1.0,0.0,193.00814766682504
44,0.88566,16.61216,0.0,0.0,0.3,8.506233,7.88426,0,0,118.327515,48.55627,0.0,0.0,1.013,-1.0,0.0,192.95472523880588
45,0.89486,16.57868,0.0,0.0,0.2,8.506233,8.3619,0,0,118.327515,48.55627,0.0,0.0,1.004,-1.0,0.0,192.9760178599311
46,0.86659,16.60733,0.0,0.0,1.0,8.506233,8.14807,0,0,118.327515,48.55627,0.0,0.0,1.005,-1.0,0.0,192.9885997709925
47,0.89225,16.60621,0.0,0.0,0.1,8.506233,7.86252,0,0,118.327515,48.55627,0.0,0.0,0.992,-1.0,0.0,193.0138910470955
48,0.87942,16.64001,0.0,0.0,0.1,8.506233,8.38023,0,0,118.327515,48.55627,0.0,0.0,0.991,0.48003,0.0,193.05137254112253
49,0.87852,16.63004,0.0,0.0,0.4,8.506233,8.44938,0,0,118.327515,48.55627,2e-05,0.0,1.002,-1.0,0.0,193.11221973349558
50,0.85668,16.63088,0.0,0.0,0.4,8.506233,8.47784,0,0,118.327515,48.55627,0.0,0.0,1.046,-1.0,0.0,193.10103349419143
51,0.88692,16.65891,0.0,0.0,0.1,8.506233,8.07345,0,0,118.327515,48.55627,0.0,0.0,1.063,-1.0,0.0,193.10757825848586
52,0.87404,16.66166,0.0,0.0,0.2,8.506233,8.60711,0,0,118.327515,48.55627,0.0,0.0,1.113,-1.0,0.0,193.1247694863589
53,0.87147,16.64735,0.0,0.0,0.6,8.506233,8.64064,0,0,118.327515,48.55627,0.0,0.0,1.181,-1.0,0.0,193.1061067056466
54,0.84868,16.67619,0.0,0.0,1.1,8.506233,8.60458,0,0,118.327515,48.55627,0.0,0.0,1.114,-1.0,0.0,193.11571170593294
55,0.89476,16.6846,0.0,0.0,0.2,8.506233,8.20379,0,0,118.327515,48.55627,0.0,0.0,1.041,-1.0,0.0,193.10005530419448
56,0.87218,16.69516,0.0,0.0,0.3,8.506233,8.67175,0,0,118.327515,48.55627,0.0,0.0,1.012,0.48698,0.0,193.13242511108632
57,0.87532,16.70568,0.0,0.0,0.3,8.506233,8.68497,0,0,118.327515,48.55627,0.0,0.0,1.006,-1.0,0.0,193.1239299061424
58,0.831,16.68458,0.0,0.0,0.7,8.506233,8.70396,0,0,118.327515,48.55627,0.0,0.0,0.98,-1.0,0.0,193.1823102115991
59,0.89493,16.68345,0.0,0.0,0.9,8.506233,8.25805,0,0,118.327515,48.55627,2e-05,0.0,0.98,-1.0,0.0,193.16230585685207
60,0.89805,16.67737,0.0,0.0,0.5,8.506233,8.58295,0,0,118.327515,48.55627,0.0,0.0,0.966,-1.0,0.0,193.18531211547304
61,0.88774,16.76098,0.0,0.0,0.6,8.506233,9.00571,0,0,118.327515,48.55627,0.0,0.0,0.974,-1.0,0.0,193.08915377309035
62,0.82562,16.78528,0.0,0.0,1.0,8.506233,8.53493,0,0,118.327515,48.55627,0.0,0.0,1.015,-1.0,0.0,193.0464609304605
63,0.86477,16.73034,0.0,0.0,0.9,8.506233,9.0798,0,0,118.327515,48.55627,0.0,0.0,1.055,-1.0,0.0,192.97327416950168
64,0.87998,16.76936,0.0,0.0,1.6,8.506233,9.07775,0,0,118.327515,48.55627,0.0,0.0,1.071,0.47801,0.0,192.9453897597221
65,0.87741,16.84413,0.0,0.0,1.3,8.506233,9.10528,0,0,118.327515,48.55627,0.0,0.0,1.076,-1.0,0.0,192.87148751237578
