Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
0,0.30868,46.3502,0.0,0.0,0.8,1.501,0.0,0,0,121,55.8904,0.00186,0.0,1.064,0.0,1.0,200.98390954769036
1,0.2969,46.47775,0.0,0.0,1.0,1.51,12.19082,0,0,121,55.86086,0.00191,0.0,1.067,-1.0,1.0,200.9336180548464
2,0.2912,46.59398,0.0,0.0,1.8,1.508,11.76707,0,0,120,55.84603,0.00115,0.0,1.067,-1.0,1.0,200.94051433029279
3,0.30184,46.75171,0.0,0.0,2.0,1.511,12.28593,0,0,120,55.85153,0.00127,0.0,1.063,-1.0,1.0,200.93731863953985
4,0.29174,46.37879,0.0,0.0,0.0,1.502,12.19448,0,0,121,55.84895,0.00113,0.0,1.071,-1.0,1.0,201.01483480614644
5,0.28898,46.68231,0.0,0.0,0.0,1.479,12.13962,0,0,121,55.85529,0.00102,0.0,1.07,-1.0,1.0,201.037344465759
6,0.28693,46.87111,0.0,0.0,2.2,1.47,11.66875,0,0,121,55.86202,0.00071,0.0,1.085,-1.0,1.0,201.11307079293996
7,0.28813,46.8556,0.0,0.0,0.0,1.495,12.10498,0,0,121,55.86506,0.00111,0.0,1.118,-1.0,1.0,201.16142353548653
8,0.28491,46.62242,0.0,0.0,0.0,1.485,12.03379,0,0,121,55.85147,0.00109,0.0,1.171,0.36806,1.0,201.1711892572294
9,0.29729,46.81484,0.0,0.0,1.0,1.487,11.99126,0,0,121,55.86332,0.00092,0.0,1.197,-1.0,1.0,201.22740742789358
10,0.30038,46.8445,0.0,0.0,1.6,1.492,11.65122,0,0,121,55.82868,0.00104,0.0,1.234,-1.0,1.0,201.18994211622157
11,0.29507,47.06994,0.0,0.0,1.0,1.462,12.06499,0,0,121,55.82413,0.00071,0.0,1.265,-1.0,1.0,201.2031117567408
12,0.29939,46.86818,0.0,0.0,0.9,1.478,12.03283,0,0,121,55.8016,0.00111,0.0,1.322,-1.0,1.0,201.17158365802425
13,0.30563,46.86789,0.0,0.0,0.0,1.494,11.87056,0,0,121,55.78736,0.00104,0.0,1.373,-1.0,1.0,201.1609313128615
14,0.29431,47.1458,0.0,0.0,0.0,1.502,11.48501,0,0,121,55.78001,0.00092,0.0,1.42,-1.0,1.0,201.20616217028615
15,0.30703,47.19061,0.0,0.0,0.7,1.479,11.91149,0,0,121,55.75117,0.00113,0.0,1.521,-1.0,1.0,201.17832297723237
16,0.30383,47.09842,0.0,0.0,0.0,1.503,11.83112,0,0,121,55.76747,0.00104,0.0,1.538,0.32321,1.0,201.1814405661391
17,0.29007,47.0343,0.0,0.0,4.5,1.499,11.49065,0,0,121,55.77746,0.00125,0.0,1.542,-1.0,1.0,201.21657561352774
18,0.30544,47.26682,0.0,0.0,0.0,1.493,11.84884,0,0,121,55.80618,0.00063,0.0,1.494,-1.0,1.0,201.24702598094873
