Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
0,0.45852,41.37518,0.0,0.0,0.5,2.687,0.0,0,0,124,55.97779,0.00045,0.0,0.96,0.0,1.0,188.6680108345837
1,0.47921,41.0362,0.0,0.0,0.2,3.03,11.40298,0,0,123,55.92639,0.00038,0.0,0.988,-1.0,1.0,190.304023990629
2,0.47711,41.48892,0.0,0.0,0.6,2.986,10.7236,0,0,123,55.89557,0.0003,0.0,0.938,-1.0,1.0,190.29709595946483
3,0.49083,41.105,0.0,0.0,1.0,3.066,11.29744,0,0,123,55.89795,0.00028,0.0,0.956,-1.0,1.0,190.8267635848565
4,0.4539,41.56455,0.0,0.0,2.0,2.831,11.14503,0,0,122,55.91145,0.0003,0.0,1.129,-1.0,1.0,189.21010192642225
5,0.47386,40.97094,0.0,0.0,0.1,3.008,11.08283,0,0,122,55.89796,0.00023,0.0,1.038,-1.0,1.0,190.95789018983564
6,0.49435,41.20043,0.0,0.0,0.8,3.013,10.54652,0,0,122,55.92337,0.00016,0.0,1.058,-1.0,1.0,190.79124210060763
7,0.48319,40.97551,0.0,0.0,0.4,3.196,11.00391,0,0,122,55.9266,0.00019,0.0,1.135,-1.0,1.0,191.24221760846666
8,0.43931,41.55672,0.0,0.0,3.0,2.946,10.97291,0,0,123,55.93159,0.00024,0.0,1.141,0.72078,1.0,190.0045363794541
9,0.48052,40.98019,0.0,0.0,0.8,3.174,10.96356,0,0,123,55.89691,0.00024,0.0,1.093,-1.0,1.0,191.47199710031126
10,0.47388,40.99769,0.0,0.0,1.2,3.198,10.49565,0,0,122,55.88249,0.00026,0.0,1.067,-1.0,1.0,191.21856122111453
11,0.4733,40.79423,0.0,0.0,0.6,3.197,10.94333,0,0,122,55.84868,0.00026,0.0,1.024,-1.0,1.0,191.75473749342262
12,0.44817,41.67282,0.0,0.0,0.5,2.988,10.96696,0,0,123,55.87042,0.00031,0.0,1.167,-1.0,1.0,190.62548376729455
13,0.49496,41.13287,0.0,0.0,1.4,3.141,10.98348,0,0,122,55.82957,0.00043,0.0,1.017,-1.0,1.0,192.02028991523935
14,0.4877,41.69858,0.0,0.0,0.9,3.048,10.55793,0,0,123,55.84155,0.00043,0.0,1.146,-1.0,1.0,191.16053262899754
15,0.49806,41.76481,0.0,0.0,0.8,3.139,11.1202,0,0,122,55.80655,0.00031,0.0,1.251,-1.0,1.0,191.2990737453278
16,0.50642,41.4226,0.0,0.0,1.5,3.201,11.09173,0,0,122,55.7943,0.0004,0.0,1.208,0.77141,1.0,191.71495529819663
17,0.48069,41.64455,0.0,0.0,0.6,3.226,10.5984,0,0,122,55.81786,0.00028,0.0,1.291,-1.0,1.0,191.74011469263672
18,0.50161,41.781,0.0,0.0,0.3,3.167,11.04084,0,0,122,55.84086,0.00026,0.0,1.23,-1.0,1.0,191.92420012467767
