subject_id,clip_id,score
S01,room_in_SRC,4
S01,room_in_1920x1080_4M,3
S01,room_in_1920x1080_2M,5
S01,room_in_HD_2M,2
S01,room_SRC,4
S01,room_1920x1080_4M,1
S01,room_1920x1080_2M,3
S01,room_HD_2M,2
S02,room_in_SRC,5
S02,room_in_1920x1080_4M,3
S02,room_in_1920x1080_2M,4
S02,room_in_HD_2M,2
S02,room_SRC,4
S02,room_1920x1080_4M,2
S02,room_1920x1080_2M,3
S02,room_HD_2M,1
S03,room_in_SRC,4
S03,room_in_1920x1080_4M,2
S03,room_in_1920x1080_2M,5
S03,room_in_HD_2M,2
S03,room_SRC,3
S03,room_1920x1080_4M,1
S03,room_1920x1080_2M,2
S03,room_HD_2M,1
S04,room_in_SRC,5
S04,room_in_1920x1080_4M,4
S04,room_in_1920x1080_2M,5
S04,room_in_HD_2M,3
S04,room_SRC,4
S04,room_1920x1080_4M,2
S04,room_1920x1080_2M,4
S04,room_HD_2M,2
S05,room_in_SRC,4
S05,room_in_1920x1080_4M,3
S05,room_in_1920x1080_2M,4
S05,room_in_HD_2M,2
S05,room_SRC,5
S05,room_1920x1080_4M,1
S05,room_1920x1080_2M,3
S05,room_HD_2M,2
